Inv_Year_ID,ECODISTRIC,PROVINCE,CROPLND,IRRIG,TOTALRT,TOTALIT,TOTALNT,ANCOARSE,ANMED,I,PERCOARSE,PERMED,PERFINE,A_PCoarse,A_PMed,A_PFine,summerfallow
1990,244,AB,768.81017,1.09,69.2524,848.2527,4.7549,0,0,922,0,0,588,0,0,1,250.75446
1990,244,BC,255.89037,2.58,6.1996,120.7449,0.4257,0,104.999,24,0,307,72,0,0.81102325,0.18897675,67.25604
1991,244,AB,840.80274,1.46,79.579,900.2833,5.7677,0,0,985,0,0,628,0,0,1,252.57515
1991,244,BC,252.94041,0,12.0121,169.5372,0.8707,0,152,36,0,250,59,0,0.808853119,0.191146881,71.76799
1992,244,AB,900.51308,2.25,98.1566,929.285,24.8684,0,0,1052,0,0,663,0,0,1,267.42145
1992,244,BC,242.36681,0,5.2636,93.5628,1.3335,0,83,19,0,312.999,74,0,0.809815562,0.190184438,58.07031
1993,244,AB,964.43393,3.05,127.1936,943.3252,45.0912,0,0,1116,0,0,703,0,0,1,273.93209
1993,244,BC,260.97089,0,6.0788,74.6664,2.155,0,73.001,17,0,315,74,0,0.810021273,0.189978727,42.67544
1994,244,AB,1025.81661,3.86,157.0384,966.8576,67.184,0,0,1191,0,0,730,0,0,1,287.58413
1994,244,BC,275.6786,0,6.628,57.1264,2.8355,0,58,14,0,319,75,0,0.809012876,0.190987124,28.45679
1995,244,AB,1085.3643,4.68,186.1682,982.5184,89.9934,0,0,1259,0,0,766,0,0,1,300.01855
1995,244,BC,288.01183,0,7.2743,43.9695,3.5163,0,48,11,0,322,76,0,0.809628009,0.190371991,17.30201
1996,244,AB,1145.68228,5.51,216.5081,998.787,113.835,0,0,1329,0,0,798,0,0,1,313.77091
1996,244,BC,298.01787,0,7.8582,32.0101,4.1318,0,38.999,9,0,322,76,0,0.809416613,0.190583387,7.14699
1997,244,AB,1236.8432,4.48,250.9769,978.9201,149.813,0,0,1379,0,0,850,0,0,1,325.00804
1997,244,BC,274.63364,1.88,6.8843,27.0964,4.1093,0,31,9,0,322.001,75,0,0.80778076,0.19221924,9.15969
1998,244,AB,1315.34344,3.4,279.1529,944.2653,180.7218,0,0,1404,0,0,928,0,0,1,334.46988
1998,244,BC,254.08261,3.79,6.5351,25.454,4.2308,0,29.999,9,0,315.999,73,0,0.80841032,0.19158968,11.17831
1999,244,AB,1407.4889,2.3,311.044,934.0142,216.4219,0,0,1462,0,0,974,0,0,1,349.54847
1999,244,BC,235.29076,5.74,6.1055,24.4764,4.2482,0,28.001,8,0,310.001,71,0,0.810552467,0.189447533,13.00385
2000,244,AB,1497.26618,1.17,340.6344,925.0156,251.58,0,0,1517,0,0,1021,0,0,1,366.92393
2000,244,BC,215.74776,7.72,5.7354,25.2487,4.2361,0,27,9,0,301.999,68,0,0.81034436,0.18965564,15.85176
2001,244,AB,1512.43273,0,350.3721,877.9269,272.751,0,0,1501,0,0,1038,0,0,1,371.40774
2001,244,BC,205.1167,10.07,5.1714,26.083,4.0256,0,28.001,9,0,304,69,0,0.809756562,0.190243438,18.60696
2002,244,AB,1506.54977,1.62,339.6028,802.9636,274.2236,0,0,1417,0,0,1086,0,0,1,333.72422
2002,244,BC,210.47123,8.72,5.6521,23.9538,4.5641,0,27,10,0,307.001,68,0,0.810680071,0.189319929,16.1441
2003,244,AB,1496.79857,3.22,327.429,722.5654,275.4057,0,0,1325,0,0,1140,0,0,1,294.2966
2003,244,BC,215.60163,9.48,6.2102,22.3361,5.2237,0,26,12,0,309.999,67,0,0.809638096,0.190361904,14.21337
2004,244,AB,1502.62727,4.83,328.4182,657.2135,289.1883,0,0,1276,0,0,1152,0,0,1,256.41516
2004,244,BC,222.36118,9.17,6.771,20.1166,5.9622,0,24.999,14,0,315.001,64,0,0.813397129,0.186602871,11.85339
2005,244,AB,1491.16203,6.46,316.8635,568.6189,293.9076,0,0,1180,0,0,1205,0,0,1,214.53417
2005,244,BC,228.00064,8.85,7.291,17.8263,6.7629,0,23.999,16,0,318.999,63,0,0.812795321,0.187204679,9.6787
2006,244,AB,1481.49448,9.19,295.8493,466.2253,291.0754,0,0,1055,0,0,1300,0,0,1,171.86719
2006,244,BC,240.42006,8.97,8.0903,15.5001,7.9597,0,21.998,17,0,326.999,65,0,0.809743455,0.190256545,7.45065
