Year,Province_ID,Crop_Type,Fert_ID,Description,Fertilizer_Applied,Emissions,IEF
1990,AB,Annual,1,Urea,113743300.4,6844628.436,0.060176102
1990,AB,Annual,2,Urea ammonium nitrate,10863884.69,495316.03,0.045592902
1990,AB,Annual,3,Anhydrous ammonia,127384814.7,6390363.297,0.050165817
1990,AB,Annual,4,Other,66027715.09,2510178.704,0.038017046
1990,BC,Annual,1,Urea,4088939.133,237367.3616,0.058051087
1990,BC,Annual,2,Urea ammonium nitrate,0,0,
1990,BC,Annual,3,Anhydrous ammonia,5679618.45,275987.1623,0.048592553
1990,BC,Annual,4,Other,5659358.728,208964.328,0.036923676
1990,MB,Annual,1,Urea,65429100.06,4672146.823,0.071407781
1990,MB,Annual,2,Urea ammonium nitrate,11623258.3,633816.7216,0.054530038
1990,MB,Annual,3,Anhydrous ammonia,98023424.21,5881340.539,0.059999338
1990,MB,Annual,4,Other,48312361.21,2195132.784,0.045436255
1990,NB,Annual,1,Urea,281304.8314,24920.69799,0.088589655
1990,NB,Annual,2,Urea ammonium nitrate,0,0,
1990,NB,Annual,3,Anhydrous ammonia,0,0,
1990,NB,Annual,4,Other,4304835.769,138790.0848,0.032240506
1990,NL,Annual,1,Urea,0,0,
1990,NL,Annual,2,Urea ammonium nitrate,0,0,
1990,NL,Annual,3,Anhydrous ammonia,0,0,
1990,NL,Annual,4,Other,6363.142797,203.3760206,0.031961568
1990,NS,Annual,1,Urea,0,0,
1990,NS,Annual,2,Urea ammonium nitrate,0,0,
1990,NS,Annual,3,Anhydrous ammonia,0,0,
1990,NS,Annual,4,Other,502317.0173,16054.83946,0.031961568
1990,ON,Annual,1,Urea,68279041.49,6862715.787,0.100509844
1990,ON,Annual,2,Urea ammonium nitrate,33135641.2,2051027.518,0.061897928
1990,ON,Annual,3,Anhydrous ammonia,23247468.1,1266806.833,0.05449225
1990,ON,Annual,4,Other,41184366.43,1506952.212,0.036590394
1990,PE,Annual,1,Urea,297481.9664,26044.28001,0.087549105
1990,PE,Annual,2,Urea ammonium nitrate,0,0,
1990,PE,Annual,3,Anhydrous ammonia,0,0,
1990,PE,Annual,4,Other,8318611.635,265875.8706,0.031961568
1990,QC,Annual,1,Urea,19948888.3,1792041.988,0.089831672
1990,QC,Annual,2,Urea ammonium nitrate,3417170.555,187867.4742,0.054977494
1990,QC,Annual,3,Anhydrous ammonia,1964010.147,95057.69893,0.0483998
1990,QC,Annual,4,Other,28392992.67,925270.1667,0.032587976
1990,SK,Annual,1,Urea,112499342.7,6934699.623,0.061642135
