EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
9787,AB,-1,-1,0.15715883
9787,AB,-1,0,0.2348566
9787,AB,0,-1,0.10926616
9787,AB,0,0,0.49871841
9687,AB,-1,-1,0.35492186
9687,AB,-1,0,0.64169703
9687,AB,0,-1,0
9687,AB,0,0,0.00338111
9609,AB,-1,-1,0.67878893
9609,AB,-1,0,0.32121107
9609,AB,0,-1,0
9609,AB,0,0,0
9607,AB,-1,-1,1
9607,AB,-1,0,0
9607,AB,0,-1,0
9607,AB,0,0,0
9593,AB,-1,-1,0.18098064
9593,AB,-1,0,0.81901936
9593,AB,0,-1,0
9593,AB,0,0,0
1018,AB,-1,-1,0.28172262
1018,AB,-1,0,0.71827738
1018,AB,0,-1,0
1018,AB,0,0,0
1017,BC,-1,-1,0.71682803
1017,BC,-1,0,0.28317197
1017,BC,0,-1,0
1017,BC,0,0,0
1016,AB,-1,-1,0.05664336
1016,AB,-1,0,0.94335664
1016,AB,0,-1,0
1016,AB,0,0,0
1015,BC,-1,-1,0.530787
1015,BC,-1,0,0.28761607
1015,BC,0,-1,0.11389942
1015,BC,0,0,0.06769751
1013,BC,-1,-1,0.47239047
1013,BC,-1,0,0.48137586
1013,BC,0,-1,0
1013,BC,0,0,0.04623367
1012,BC,-1,-1,1
1012,BC,-1,0,0
1012,BC,0,-1,0
1012,BC,0,0,0
1011,BC,-1,-1,0.75671262
1011,BC,-1,0,0.02468168
1011,BC,0,-1,0.2186057
1011,BC,0,0,0
1010,BC,-1,-1,0.79923294
1010,BC,-1,0,0
1010,BC,0,-1,0
1010,BC,0,0,0.20076706
1009,BC,-1,-1,0.40012172
1009,BC,-1,0,0.28001328
1009,BC,0,-1,0.31986501
1009,BC,0,0,0
1008,BC,-1,-1,0.75768078
1008,BC,-1,0,0.164566
1008,BC,0,-1,0.07775322
1008,BC,0,0,0
1007,BC,-1,-1,0.52017083
1007,BC,-1,0,0.44150926
1007,BC,0,-1,0.01857023
1007,BC,0,0,0.01974968
1006,BC,-1,-1,0.84702347
1006,BC,-1,0,0.10482691
1006,BC,0,-1,0.04814961
1006,BC,0,0,0
1005,BC,-1,-1,0.94723217
1005,BC,-1,0,0.05276783
1005,BC,0,-1,0
1005,BC,0,0,0
1004,BC,-1,-1,0.71707623
1004,BC,-1,0,0.19842018
1004,BC,0,-1,0.08450358
1004,BC,0,0,0
1003,BC,-1,-1,1
1003,BC,-1,0,0
1003,BC,0,-1,0
1003,BC,0,0,0
1002,BC,-1,-1,0.67544379
1002,BC,-1,0,0.32455621
1002,BC,0,-1,0
1002,BC,0,0,0
1001,BC,-1,-1,0.92495326
1001,BC,-1,0,0.06563699
1001,BC,0,-1,0.00940975
1001,BC,0,0,0
995,BC,-1,-1,0.56626073
995,BC,-1,0,0.1366755
995,BC,0,-1,0.15995323
995,BC,0,0,0.13711054
992,BC,-1,-1,0.66667073
992,BC,-1,0,0.33332927
992,BC,0,-1,0
992,BC,0,0,0
991,BC,-1,-1,0.30207024
991,BC,-1,0,0.00246537
991,BC,0,-1,0.69546438
991,BC,0,0,0
990,BC,-1,-1,0.9319045
990,BC,-1,0,0.0680955
990,BC,0,-1,0
990,BC,0,0,0
988,BC,-1,-1,0.88485047
988,BC,-1,0,0.11514953
988,BC,0,-1,0
988,BC,0,0,0
987,BC,-1,-1,1
987,BC,-1,0,0
987,BC,0,-1,0
987,BC,0,0,0
982,BC,-1,-1,0.89693438
982,BC,-1,0,0.07229387
982,BC,0,-1,0
982,BC,0,0,0.03077175
981,BC,-1,-1,1
981,BC,-1,0,0
981,BC,0,-1,0
981,BC,0,0,0
980,BC,-1,-1,0.9
980,BC,-1,0,0.1
980,BC,0,-1,0
980,BC,0,0,0
979,BC,-1,-1,0.81959166
979,BC,-1,0,0.18040834
979,BC,0,-1,0
979,BC,0,0,0
978,BC,-1,-1,0.75391286
978,BC,-1,0,0.2355512
978,BC,0,-1,0
978,BC,0,0,0.01053595
977,BC,-1,-1,0.7681246
977,BC,-1,0,0.2318754
977,BC,0,-1,0
977,BC,0,0,0
976,BC,-1,-1,0.98017158
976,BC,-1,0,0.01982842
976,BC,0,-1,0
976,BC,0,0,0
975,BC,-1,-1,1
975,BC,-1,0,0
975,BC,0,-1,0
975,BC,0,0,0
974,BC,-1,-1,0.98320197
974,BC,-1,0,0.01679803
974,BC,0,-1,0
974,BC,0,0,0
972,BC,-1,-1,0.96335659
972,BC,-1,0,0.03664341
972,BC,0,-1,0
972,BC,0,0,0
971,BC,-1,-1,0.59723778
971,BC,-1,0,0.40276222
971,BC,0,-1,0
971,BC,0,0,0
969,BC,-1,-1,1
969,BC,-1,0,0
969,BC,0,-1,0
969,BC,0,0,0
962,BC,-1,-1,0
962,BC,-1,0,1
962,BC,0,-1,0
962,BC,0,0,0
960,BC,-1,-1,0
960,BC,-1,0,1
960,BC,0,-1,0
960,BC,0,0,0
959,BC,-1,-1,0.63307865
959,BC,-1,0,0.36692135
959,BC,0,-1,0
959,BC,0,0,0
958,BC,-1,-1,1
958,BC,-1,0,0
958,BC,0,-1,0
958,BC,0,0,0
957,BC,-1,-1,0.36381581
957,BC,-1,0,0.63618419
957,BC,0,-1,0
957,BC,0,0,0
956,BC,-1,-1,0.65322973
956,BC,-1,0,0.34677027
956,BC,0,-1,0
956,BC,0,0,0
955,BC,-1,-1,0.32766127
955,BC,-1,0,0.67233873
955,BC,0,-1,0
955,BC,0,0,0
950,BC,-1,-1,0.68404805
950,BC,-1,0,0.31595195
950,BC,0,-1,0
950,BC,0,0,0
948,BC,-1,-1,1
948,BC,-1,0,0
948,BC,0,-1,0
948,BC,0,0,0
944,BC,-1,-1,0.84871355
944,BC,-1,0,0.15128645
944,BC,0,-1,0
944,BC,0,0,0
943,BC,-1,-1,0
943,BC,-1,0,1
943,BC,0,-1,0
943,BC,0,0,0
940,BC,-1,-1,1
940,BC,-1,0,0
940,BC,0,-1,0
940,BC,0,0,0
855,MB,-1,-1,0
855,MB,-1,0,1
855,MB,0,-1,0
855,MB,0,0,0
854,MB,-1,-1,0.2129876
854,MB,-1,0,0.57494712
854,MB,0,-1,0.07099587
854,MB,0,0,0.14106941
853,MB,-1,-1,0
853,MB,-1,0,0.12085562
853,MB,0,-1,0
853,MB,0,0,0.87914438
852,MB,-1,-1,0.06474176
852,MB,-1,0,0.33230017
852,MB,0,-1,0.23946195
852,MB,0,0,0.36349612
851,MB,-1,-1,0
851,MB,-1,0,0.14049924
851,MB,0,-1,0.0977386
851,MB,0,0,0.76176216
850,MB,-1,-1,0.21489923
850,MB,-1,0,0.18141438
850,MB,0,-1,0.60105136
850,MB,0,0,0.00263504
849,MB,-1,-1,0
849,MB,-1,0,0.32476757
849,MB,0,-1,0.02698213
849,MB,0,0,0.6482503
848,MB,-1,-1,0
848,MB,-1,0,0
848,MB,0,-1,0.09502915
848,MB,0,0,0.90497085
847,MB,-1,-1,0
847,MB,-1,0,0.09340575
847,MB,0,-1,0
847,MB,0,0,0.90659425
846,MB,-1,-1,0
846,MB,-1,0,0
846,MB,0,-1,0
846,MB,0,0,1
844,MB,-1,-1,0
844,MB,-1,0,0.17607581
844,MB,0,-1,0.19514275
844,MB,0,0,0.62878144
843,MB,-1,-1,0.12386109
843,MB,-1,0,0
843,MB,0,-1,0.52647602
843,MB,0,0,0.34966289
841,MB,-1,-1,0.00649359
841,MB,-1,0,0
841,MB,0,-1,0.5243579
841,MB,0,0,0.46914851
840,MB,-1,-1,0.04472605
840,MB,-1,0,0.3755709
840,MB,0,-1,0.22492663
840,MB,0,0,0.35477642
839,MB,-1,-1,0.05680728
839,MB,-1,0,0.23842082
839,MB,0,-1,0
839,MB,0,0,0.7047719
838,AB,-1,-1,0.55055495
838,AB,-1,0,0.44944505
838,AB,0,-1,0
838,AB,0,0,0
838,SK,-1,-1,0.43983074
838,SK,-1,0,0.42555144
838,SK,0,-1,0.0356366
838,SK,0,0,0.09898123
837,AB,-1,-1,0.1
837,AB,-1,0,0.9
837,AB,0,-1,0
837,AB,0,0,0
837,SK,-1,-1,0.52663478
837,SK,-1,0,0.43207612
837,SK,0,-1,0.04128911
837,SK,0,0,0
836,AB,-1,-1,0
836,AB,-1,0,1
836,AB,0,-1,0
836,AB,0,0,0
835,SK,-1,-1,0.83870967
835,SK,-1,0,0.16129033
835,SK,0,-1,0
835,SK,0,0,0
834,SK,-1,-1,0.83142844
834,SK,-1,0,0.16857156
834,SK,0,-1,0
834,SK,0,0,0
833,AB,-1,-1,0.54810227
833,AB,-1,0,0.07426162
833,AB,0,-1,0.3776361
833,AB,0,0,0
833,SK,-1,-1,0.54055641
833,SK,-1,0,0.45944359
833,SK,0,-1,0
833,SK,0,0,0
832,SK,-1,-1,0.91988189
832,SK,-1,0,0.06812353
832,SK,0,-1,0.00628671
832,SK,0,0,0.00570786
831,SK,-1,-1,0.13025759
831,SK,-1,0,0.72915352
831,SK,0,-1,0.13091462
831,SK,0,0,0.00967427
830,SK,-1,-1,0.72401187
830,SK,-1,0,0.02520361
830,SK,0,-1,0.13669935
830,SK,0,0,0.11408516
829,AB,-1,-1,0.98762253
829,AB,-1,0,0.01237747
829,AB,0,-1,0
829,AB,0,0,0
828,AB,-1,-1,0.41639688
828,AB,-1,0,0.00166819
828,AB,0,-1,0.58193492
828,AB,0,0,0
827,SK,-1,-1,0.92858168
827,SK,-1,0,0.01182149
827,SK,0,-1,0.01324782
827,SK,0,0,0.04634901
826,SK,-1,-1,0.83486691
826,SK,-1,0,0.09973273
826,SK,0,-1,0.03289368
826,SK,0,0,0.03250667
825,SK,-1,-1,0.74074969
825,SK,-1,0,0.17465119
825,SK,0,-1,0.07096319
825,SK,0,0,0.01363592
824,SK,-1,-1,0.94548132
824,SK,-1,0,0.01154662
824,SK,0,-1,0.03728008
824,SK,0,0,0.00569199
823,AB,-1,-1,0.81251458
823,AB,-1,0,0
823,AB,0,-1,0.18748542
823,AB,0,0,0
822,SK,-1,-1,0.39583354
822,SK,-1,0,0.49683216
822,SK,0,-1,0.1073343
822,SK,0,0,0
821,AB,-1,-1,0.35875086
821,AB,-1,0,0.01486851
821,AB,0,-1,0.6189593
821,AB,0,0,0.00742133
821,SK,-1,-1,0.9877082
821,SK,-1,0,0
821,SK,0,-1,0.0122918
821,SK,0,0,0
820,SK,-1,-1,0.85449514
820,SK,-1,0,0
820,SK,0,-1,0.14125373
820,SK,0,0,0.00425113
819,SK,-1,-1,1
819,SK,-1,0,0
819,SK,0,-1,0
819,SK,0,0,0
818,AB,-1,-1,0.62056579
818,AB,-1,0,0.31811172
818,AB,0,-1,0.0613225
818,AB,0,0,0
817,SK,-1,-1,0.826464
817,SK,-1,0,0.03816682
817,SK,0,-1,0.13536918
817,SK,0,0,0
816,SK,-1,-1,0.78853116
816,SK,-1,0,0.07469742
816,SK,0,-1,0.10400653
816,SK,0,0,0.03276488
815,AB,-1,-1,0.99677921
815,AB,-1,0,0.00322079
815,AB,0,-1,0
815,AB,0,0,0
815,SK,-1,-1,0.97133081
815,SK,-1,0,0
815,SK,0,-1,0.02866919
815,SK,0,0,0
814,AB,-1,-1,0.36570137
814,AB,-1,0,0.26667394
814,AB,0,-1,0.36762469
814,AB,0,0,0
813,SK,-1,-1,0.67385821
813,SK,-1,0,0.22481209
813,SK,0,-1,0.01949727
813,SK,0,0,0.08183244
812,AB,-1,-1,0.72057979
812,AB,-1,0,0.24637374
812,AB,0,-1,0.00129394
812,AB,0,0,0.03175253
811,AB,-1,-1,0.14792534
811,AB,-1,0,0.30224664
811,AB,0,-1,0.05848764
811,AB,0,0,0.49134039
811,SK,-1,-1,0.20909114
811,SK,-1,0,0.72727257
811,SK,0,-1,0.06363629
811,SK,0,0,0
810,SK,-1,-1,0.91139743
810,SK,-1,0,0.0511382
810,SK,0,-1,0.03746437
810,SK,0,0,0
809,AB,-1,-1,0.15847252
809,AB,-1,0,0.31318238
809,AB,0,-1,0.51609262
809,AB,0,0,0.01225248
809,SK,-1,-1,0.74832194
809,SK,-1,0,0.11537301
809,SK,0,-1,0.05247909
809,SK,0,0,0.08382596
808,SK,-1,-1,0.18367125
808,SK,-1,0,0.18465367
