Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
1990,AB,1,Urea,0.416667532
1990,AB,2,Urea ammonium nitrate,0.030844206
1990,AB,3,Anhydrous ammonia,0.361664693
1990,AB,4,Other,0.190823569
1990,Atlantic,1,Urea,0.292669855
1990,Atlantic,2,Urea ammonium nitrate,0
1990,Atlantic,3,Anhydrous ammonia,0
1990,Atlantic,4,Other,0.707330145
1990,BC,1,Urea,0.540788569
1990,BC,2,Urea ammonium nitrate,0
1990,BC,3,Anhydrous ammonia,0.191432756
1990,BC,4,Other,0.267778675
1990,MB,1,Urea,0.320764666
1990,MB,2,Urea ammonium nitrate,0.04997166
1990,MB,3,Anhydrous ammonia,0.421430303
1990,MB,4,Other,0.207833371
1990,ON,1,Urea,0.478235725
1990,ON,2,Urea ammonium nitrate,0.17438618
1990,ON,3,Anhydrous ammonia,0.122346724
1990,ON,4,Other,0.225031371
1990,QC,1,Urea,0.585938845
1990,QC,2,Urea ammonium nitrate,0.03587769
1990,QC,3,Anhydrous ammonia,0.020620612
1990,QC,4,Other,0.357562854
1990,SK,1,Urea,0.431619621
1990,SK,2,Urea ammonium nitrate,0.009934407
1990,SK,3,Anhydrous ammonia,0.309046199
1990,SK,4,Other,0.249399774
1991,AB,1,Urea,0.407682321
1991,AB,2,Urea ammonium nitrate,0.032133327
1991,AB,3,Anhydrous ammonia,0.369286803
1991,AB,4,Other,0.190897548
1991,Atlantic,1,Urea,0.269754885
1991,Atlantic,2,Urea ammonium nitrate,0
1991,Atlantic,3,Anhydrous ammonia,0
1991,Atlantic,4,Other,0.730245115
1991,BC,1,Urea,0.619210227
1991,BC,2,Urea ammonium nitrate,0
1991,BC,3,Anhydrous ammonia,0.060041845
1991,BC,4,Other,0.320747928
1991,MB,1,Urea,0.31044207
1991,MB,2,Urea ammonium nitrate,0.049077701
1991,MB,3,Anhydrous ammonia,0.456911792
1991,MB,4,Other,0.183568437
1991,ON,1,Urea,0.425228585
1991,ON,2,Urea ammonium nitrate,0.171181781
1991,ON,3,Anhydrous ammonia,0.17758333
1991,ON,4,Other,0.226006305
1991,QC,1,Urea,0.595337765
1991,QC,2,Urea ammonium nitrate,0.044103162
1991,QC,3,Anhydrous ammonia,0.022450471
1991,QC,4,Other,0.338108601
1991,SK,1,Urea,0.435002374
1991,SK,2,Urea ammonium nitrate,0.011907531
1991,SK,3,Anhydrous ammonia,0.295151319
1991,SK,4,Other,0.257938776
1992,AB,1,Urea,0.411020887
1992,AB,2,Urea ammonium nitrate,0.025097084
1992,AB,3,Anhydrous ammonia,0.376388526
1992,AB,4,Other,0.187493504
1992,Atlantic,1,Urea,0.258475558
1992,Atlantic,2,Urea ammonium nitrate,0
1992,Atlantic,3,Anhydrous ammonia,0
1992,Atlantic,4,Other,0.741524442
1992,BC,1,Urea,0.561158028
1992,BC,2,Urea ammonium nitrate,0.016227852
1992,BC,3,Anhydrous ammonia,0.111276701
1992,BC,4,Other,0.311337418
1992,MB,1,Urea,0.316957468
1992,MB,2,Urea ammonium nitrate,0.044436672
