Year,Province,Crop,Production
2018,Newfoundland and Labrador,Barley,0
2019,Newfoundland and Labrador,Barley,0
2020,Newfoundland and Labrador,Barley,0
2021,Newfoundland and Labrador,Barley,
2022,Newfoundland and Labrador,Barley,
2018,Newfoundland and Labrador,Canola (rapeseed),0
2019,Newfoundland and Labrador,Canola (rapeseed),0
2020,Newfoundland and Labrador,Canola (rapeseed),0
2021,Newfoundland and Labrador,Canola (rapeseed),0
2022,Newfoundland and Labrador,Canola (rapeseed),0
2018,Newfoundland and Labrador,Corn for grain,0
2019,Newfoundland and Labrador,Corn for grain,0
2020,Newfoundland and Labrador,Corn for grain,0
2021,Newfoundland and Labrador,Corn for grain,
2022,Newfoundland and Labrador,Corn for grain,0
2018,Newfoundland and Labrador,Corn for silage,4300
2019,Newfoundland and Labrador,Corn for silage,0
2020,Newfoundland and Labrador,Corn for silage,0
2021,Newfoundland and Labrador,Corn for silage,
2022,Newfoundland and Labrador,Corn for silage,2932
2018,Newfoundland and Labrador,Lentils,0
2019,Newfoundland and Labrador,Lentils,0
2020,Newfoundland and Labrador,Lentils,0
2021,Newfoundland and Labrador,Lentils,0
2022,Newfoundland and Labrador,Lentils,0
2018,Newfoundland and Labrador,"Peas, dry",0
2019,Newfoundland and Labrador,"Peas, dry",0
2020,Newfoundland and Labrador,"Peas, dry",0
2021,Newfoundland and Labrador,"Peas, dry",
2022,Newfoundland and Labrador,"Peas, dry",
2018,Newfoundland and Labrador,"Rye, fall remaining",0
2019,Newfoundland and Labrador,"Rye, fall remaining",0
2020,Newfoundland and Labrador,"Rye, fall remaining",0
2021,Newfoundland and Labrador,"Rye, fall remaining",
2022,Newfoundland and Labrador,"Rye, fall remaining",0
2018,Newfoundland and Labrador,"Rye, spring",
2019,Newfoundland and Labrador,"Rye, spring",0
2020,Newfoundland and Labrador,"Rye, spring",0
2021,Newfoundland and Labrador,"Rye, spring",
2022,Newfoundland and Labrador,"Rye, spring",0
2018,Newfoundland and Labrador,Soybeans,0
2019,Newfoundland and Labrador,Soybeans,0
2020,Newfoundland and Labrador,Soybeans,0
2021,Newfoundland and Labrador,Soybeans,
2022,Newfoundland and Labrador,Soybeans,0
2018,Newfoundland and Labrador,Sugar beets,0
2019,Newfoundland and Labrador,Sugar beets,0
2020,Newfoundland and Labrador,Sugar beets,0
2021,Newfoundland and Labrador,Sugar beets,
2022,Newfoundland and Labrador,Sugar beets,0
2018,Newfoundland and Labrador,Triticale,0
2019,Newfoundland and Labrador,Triticale,0
2020,Newfoundland and Labrador,Triticale,0
2021,Newfoundland and Labrador,Triticale,0
2022,Newfoundland and Labrador,Triticale,0
2018,Newfoundland and Labrador,"Wheat, all",0
2019,Newfoundland and Labrador,"Wheat, all",0
2020,Newfoundland and Labrador,"Wheat, all",
2021,Newfoundland and Labrador,"Wheat, all",
2022,Newfoundland and Labrador,"Wheat, all",0
2018,Newfoundland and Labrador,"Wheat, durum",0
2019,Newfoundland and Labrador,"Wheat, durum",0
2020,Newfoundland and Labrador,"Wheat, durum",0
2021,Newfoundland and Labrador,"Wheat, durum",
2022,Newfoundland and Labrador,"Wheat, durum",0
2018,Newfoundland and Labrador,"Wheat, spring",0
2019,Newfoundland and Labrador,"Wheat, spring",0
2020,Newfoundland and Labrador,"Wheat, spring",
2021,Newfoundland and Labrador,"Wheat, spring",
2022,Newfoundland and Labrador,"Wheat, spring",0
2018,Newfoundland and Labrador,"Wheat, winter remaining",0
2019,Newfoundland and Labrador,"Wheat, winter remaining",0
2020,Newfoundland and Labrador,"Wheat, winter remaining",0
2021,Newfoundland and Labrador,"Wheat, winter remaining",
2022,Newfoundland and Labrador,"Wheat, winter remaining",0
2012,Prince Edward Island,Barley,90400
2013,Prince Edward Island,Barley,96900
2014,Prince Edward Island,Barley,76200
2015,Prince Edward Island,Barley,81000
2016,Prince Edward Island,Barley,87100
2017,Prince Edward Island,Barley,78400
2018,Prince Edward Island,Barley,105500
2019,Prince Edward Island,Barley,72300
2020,Prince Edward Island,Barley,65200
2021,Prince Edward Island,Barley,84405
2022,Prince Edward Island,Barley,88840
2018,Prince Edward Island,Canola (rapeseed),0
2019,Prince Edward Island,Canola (rapeseed),800
2020,Prince Edward Island,Canola (rapeseed),0
2021,Prince Edward Island,Canola (rapeseed),
2022,Prince Edward Island,Canola (rapeseed),
2012,Prince Edward Island,Corn for grain,16900
2013,Prince Edward Island,Corn for grain,24100
2014,Prince Edward Island,Corn for grain,
2015,Prince Edward Island,Corn for grain,
2016,Prince Edward Island,Corn for grain,26700
2017,Prince Edward Island,Corn for grain,40000
2018,Prince Edward Island,Corn for grain,35400
2019,Prince Edward Island,Corn for grain,40000
2020,Prince Edward Island,Corn for grain,41800
2021,Prince Edward Island,Corn for grain,53642
2022,Prince Edward Island,Corn for grain,
2012,Prince Edward Island,Corn for silage,111600
2013,Prince Edward Island,Corn for silage,86200
2014,Prince Edward Island,Corn for silage,59900
2015,Prince Edward Island,Corn for silage,50800
2016,Prince Edward Island,Corn for silage,113400
2017,Prince Edward Island,Corn for silage,66200
2018,Prince Edward Island,Corn for silage,88100
2019,Prince Edward Island,Corn for silage,113100
2020,Prince Edward Island,Corn for silage,213000
2021,Prince Edward Island,Corn for silage,147331
2022,Prince Edward Island,Corn for silage,
2018,Prince Edward Island,Lentils,0
2019,Prince Edward Island,Lentils,0
2020,Prince Edward Island,Lentils,0
2021,Prince Edward Island,Lentils,0
2022,Prince Edward Island,Lentils,0
2012,Prince Edward Island,"Peas, dry",
2013,Prince Edward Island,"Peas, dry",
2014,Prince Edward Island,"Peas, dry",
2015,Prince Edward Island,"Peas, dry",
2016,Prince Edward Island,"Peas, dry",
2017,Prince Edward Island,"Peas, dry",
2018,Prince Edward Island,"Peas, dry",3100
2019,Prince Edward Island,"Peas, dry",4300
2020,Prince Edward Island,"Peas, dry",16000
2021,Prince Edward Island,"Peas, dry",2006
2022,Prince Edward Island,"Peas, dry",
2012,Prince Edward Island,"Rye, fall remaining",
2013,Prince Edward Island,"Rye, fall remaining",
2014,Prince Edward Island,"Rye, fall remaining",
2015,Prince Edward Island,"Rye, fall remaining",
2016,Prince Edward Island,"Rye, fall remaining",
2017,Prince Edward Island,"Rye, fall remaining",
2018,Prince Edward Island,"Rye, fall remaining",300
2019,Prince Edward Island,"Rye, fall remaining",
2020,Prince Edward Island,"Rye, fall remaining",4600
2021,Prince Edward Island,"Rye, fall remaining",4043
2022,Prince Edward Island,"Rye, fall remaining",2720
2018,Prince Edward Island,"Rye, spring",
2019,Prince Edward Island,"Rye, spring",0
2020,Prince Edward Island,"Rye, spring",0
2021,Prince Edward Island,"Rye, spring",
2022,Prince Edward Island,"Rye, spring",0
2012,Prince Edward Island,Soybeans,51400
2013,Prince Edward Island,Soybeans,58500
2014,Prince Edward Island,Soybeans,58200
2015,Prince Edward Island,Soybeans,45700
2016,Prince Edward Island,Soybeans,40800
2017,Prince Edward Island,Soybeans,49000
2018,Prince Edward Island,Soybeans,43200
2019,Prince Edward Island,Soybeans,36400
2020,Prince Edward Island,Soybeans,39300
