Year,Province,Crop,Yield
2018,Newfoundland and Labrador,Barley,
2019,Newfoundland and Labrador,Barley,0
2020,Newfoundland and Labrador,Barley,
2021,Newfoundland and Labrador,Barley,
2022,Newfoundland and Labrador,Barley,
2018,Newfoundland and Labrador,Canola (rapeseed),
2019,Newfoundland and Labrador,Canola (rapeseed),0
2020,Newfoundland and Labrador,Canola (rapeseed),
2021,Newfoundland and Labrador,Canola (rapeseed),
2022,Newfoundland and Labrador,Canola (rapeseed),
2018,Newfoundland and Labrador,Corn for grain,
2019,Newfoundland and Labrador,Corn for grain,
2020,Newfoundland and Labrador,Corn for grain,
2021,Newfoundland and Labrador,Corn for grain,
2022,Newfoundland and Labrador,Corn for grain,
2018,Newfoundland and Labrador,Corn for silage,35093
2019,Newfoundland and Labrador,Corn for silage,
2020,Newfoundland and Labrador,Corn for silage,0
2021,Newfoundland and Labrador,Corn for silage,
2022,Newfoundland and Labrador,Corn for silage,38948
2018,Newfoundland and Labrador,"Peas, dry",
2019,Newfoundland and Labrador,"Peas, dry",
2020,Newfoundland and Labrador,"Peas, dry",
2021,Newfoundland and Labrador,"Peas, dry",
2022,Newfoundland and Labrador,"Peas, dry",
2018,Newfoundland and Labrador,"Rye, all",
2019,Newfoundland and Labrador,"Rye, all",
2020,Newfoundland and Labrador,"Rye, all",
2021,Newfoundland and Labrador,"Rye, all",
2022,Newfoundland and Labrador,"Rye, all",
2018,Newfoundland and Labrador,Soybeans,
2019,Newfoundland and Labrador,Soybeans,
2020,Newfoundland and Labrador,Soybeans,
2021,Newfoundland and Labrador,Soybeans,
2022,Newfoundland and Labrador,Soybeans,
2018,Newfoundland and Labrador,Sugar beets,
2019,Newfoundland and Labrador,Sugar beets,
2020,Newfoundland and Labrador,Sugar beets,
2021,Newfoundland and Labrador,Sugar beets,
2022,Newfoundland and Labrador,Sugar beets,
2018,Newfoundland and Labrador,Triticale,
2019,Newfoundland and Labrador,Triticale,
2020,Newfoundland and Labrador,Triticale,
2021,Newfoundland and Labrador,Triticale,
2022,Newfoundland and Labrador,Triticale,
2018,Newfoundland and Labrador,"Wheat, all",0
2019,Newfoundland and Labrador,"Wheat, all",0
2020,Newfoundland and Labrador,"Wheat, all",
2021,Newfoundland and Labrador,"Wheat, all",
2022,Newfoundland and Labrador,"Wheat, all",
2018,Newfoundland and Labrador,"Wheat, durum",
2019,Newfoundland and Labrador,"Wheat, durum",
2020,Newfoundland and Labrador,"Wheat, durum",
2021,Newfoundland and Labrador,"Wheat, durum",
2022,Newfoundland and Labrador,"Wheat, durum",
2018,Newfoundland and Labrador,"Wheat, all excluding durum wheat",0
2019,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2020,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2021,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2022,Newfoundland and Labrador,"Wheat, all excluding durum wheat",
2012,Prince Edward Island,Barley,3300
2013,Prince Edward Island,Barley,3400
2014,Prince Edward Island,Barley,3100
2015,Prince Edward Island,Barley,3400
2016,Prince Edward Island,Barley,3500
2017,Prince Edward Island,Barley,3600
2018,Prince Edward Island,Barley,3522
2019,Prince Edward Island,Barley,3654
2020,Prince Edward Island,Barley,3380
2021,Prince Edward Island,Barley,3607
2022,Prince Edward Island,Barley,3753
2018,Prince Edward Island,Canola (rapeseed),
2019,Prince Edward Island,Canola (rapeseed),2279
2020,Prince Edward Island,Canola (rapeseed),
2021,Prince Edward Island,Canola (rapeseed),
2022,Prince Edward Island,Canola (rapeseed),
2012,Prince Edward Island,Corn for grain,7700
2013,Prince Edward Island,Corn for grain,8600
2014,Prince Edward Island,Corn for grain,
2015,Prince Edward Island,Corn for grain,
2016,Prince Edward Island,Corn for grain,7900
2017,Prince Edward Island,Corn for grain,8200
2018,Prince Edward Island,Corn for grain,8737
2019,Prince Edward Island,Corn for grain,8241
2020,Prince Edward Island,Corn for grain,8011
2021,Prince Edward Island,Corn for grain,8858
2022,Prince Edward Island,Corn for grain,
2012,Prince Edward Island,Corn for silage,37200
2013,Prince Edward Island,Corn for silage,43100
2014,Prince Edward Island,Corn for silage,42790
2015,Prince Edward Island,Corn for silage,31750
2016,Prince Edward Island,Corn for silage,35440
2017,Prince Edward Island,Corn for silage,33100
2018,Prince Edward Island,Corn for silage,36250
2019,Prince Edward Island,Corn for silage,31043
2020,Prince Edward Island,Corn for silage,46583
2021,Prince Edward Island,Corn for silage,35172
2022,Prince Edward Island,Corn for silage,
2012,Prince Edward Island,"Peas, dry",
2013,Prince Edward Island,"Peas, dry",
2014,Prince Edward Island,"Peas, dry",
2015,Prince Edward Island,"Peas, dry",
2016,Prince Edward Island,"Peas, dry",
2017,Prince Edward Island,"Peas, dry",
2018,Prince Edward Island,"Peas, dry",3444
2019,Prince Edward Island,"Peas, dry",2867
2020,Prince Edward Island,"Peas, dry",3038
2021,Prince Edward Island,"Peas, dry",3343
2022,Prince Edward Island,"Peas, dry",
2012,Prince Edward Island,"Rye, all",
2013,Prince Edward Island,"Rye, all",
2014,Prince Edward Island,"Rye, all",
2015,Prince Edward Island,"Rye, all",
2016,Prince Edward Island,"Rye, all",
2017,Prince Edward Island,"Rye, all",
2018,Prince Edward Island,"Rye, all",2400
2019,Prince Edward Island,"Rye, all",
2020,Prince Edward Island,"Rye, all",3833
2021,Prince Edward Island,"Rye, all",
2022,Prince Edward Island,"Rye, all",3886
2012,Prince Edward Island,Soybeans,2500
2013,Prince Edward Island,Soybeans,2500
2014,Prince Edward Island,Soybeans,2300
2015,Prince Edward Island,Soybeans,2300
2016,Prince Edward Island,Soybeans,2300
2017,Prince Edward Island,Soybeans,2400
2018,Prince Edward Island,Soybeans,2755
2019,Prince Edward Island,Soybeans,2294
2020,Prince Edward Island,Soybeans,2549
2021,Prince Edward Island,Soybeans,3067
2022,Prince Edward Island,Soybeans,2921
2018,Prince Edward Island,Sugar beets,
2019,Prince Edward Island,Sugar beets,
2020,Prince Edward Island,Sugar beets,
