Province_ID,ECODISTRIC,ECOZONE,ZONE_NAME
SK,700,9,Boreal Plains
SK,701,9,Boreal Plains
SK,702,9,Boreal Plains
AB,703,9,Boreal Plains
SK,704,9,Boreal Plains
SK,705,9,Boreal Plains
SK,706,9,Boreal Plains
SK,707,9,Boreal Plains
AB,708,9,Boreal Plains
MB,709,9,Boreal Plains
SK,709,9,Boreal Plains
SK,710,9,Boreal Plains
SK,711,9,Boreal Plains
MB,714,9,Boreal Plains
SK,714,9,Boreal Plains
MB,715,9,Boreal Plains
SK,715,9,Boreal Plains
MB,716,9,Boreal Plains
MB,717,9,Boreal Plains
SK,717,9,Boreal Plains
MB,718,9,Boreal Plains
MB,720,9,Boreal Plains
MB,723,9,Boreal Plains
MB,724,9,Boreal Plains
MB,726,9,Boreal Plains
BC,244,4,Taiga Plain
AB,244,4,Taiga Plain
BC,252,4,Taiga Plain
BC,581,9,Boreal Plains
PE,538,7,Atlantic Maritime
QC,539,7,Atlantic Maritime
QC,478,7,Atlantic Maritime
QC,479,7,Atlantic Maritime
QC,481,7,Atlantic Maritime
NB,481,7,Atlantic Maritime
QC,482,7,Atlantic Maritime
QC,483,7,Atlantic Maritime
NB,484,7,Atlantic Maritime
QC,484,7,Atlantic Maritime
NB,485,7,Atlantic Maritime
NB,486,7,Atlantic Maritime
NB,487,7,Atlantic Maritime
QC,487,7,Atlantic Maritime
NB,488,7,Atlantic Maritime
NB,489,7,Atlantic Maritime
NB,490,7,Atlantic Maritime
NB,493,7,Atlantic Maritime
NB,494,7,Atlantic Maritime
NB,495,7,Atlantic Maritime
NB,497,7,Atlantic Maritime
NB,498,7,Atlantic Maritime
NB,499,7,Atlantic Maritime
NB,500,7,Atlantic Maritime
NB,501,7,Atlantic Maritime
NB,502,7,Atlantic Maritime
NB,503,7,Atlantic Maritime
NS,504,7,Atlantic Maritime
NB,504,7,Atlantic Maritime
NB,505,7,Atlantic Maritime
NB,506,7,Atlantic Maritime
NS,507,7,Atlantic Maritime
NB,507,7,Atlantic Maritime
NB,508,7,Atlantic Maritime
NS,509,7,Atlantic Maritime
NS,510,7,Atlantic Maritime
NS,511,7,Atlantic Maritime
NS,512,7,Atlantic Maritime
