Inv_Year_ID,Province_ID,Ecodistrict_ID,CropIII_ID,Crop_Real_N
1990,AB,244,18,7048.479463
1990,AB,244,22,0
1990,AB,244,21,0
1990,AB,244,5,226.5985326
1990,AB,244,29,0
1990,AB,244,27,0
1990,AB,244,3,12364.58039
1990,AB,244,20,29.20240245
1990,AB,244,26,823.3246673
1990,AB,244,8,404.0468024
1990,AB,244,1,93.74200923
1990,AB,244,19,28.73278787
1990,AB,244,28,0
1990,AB,244,32,1428.507411
1990,AB,244,30,5.76447813
1990,AB,244,6,17.96014479
1990,AB,244,12,0
1990,AB,244,15,38.87644935
1990,AB,244,11,121.8808407
1990,AB,244,16,1040.842492
1990,AB,244,34,0
1990,AB,244,23,68.98555412
1990,AB,244,14,9506.818687
1990,AB,244,4,0
1990,AB,244,10,0
1990,AB,244,17,1650.893762
1990,AB,244,33,2797.943853
1990,AB,244,9,7.08609539
1990,AB,244,13,0
1990,AB,583,18,957.4264063
1990,AB,583,29,4.117292888
1990,AB,583,21,0
1990,AB,583,22,0
1990,AB,583,5,0
1990,AB,583,12,0
1990,AB,583,9,1.945440066
1990,AB,583,3,2796.283678
1990,AB,583,26,839.7547666
1990,AB,583,15,11.91524308
1990,AB,583,16,118.5963228
1990,AB,583,23,9.370615538
1990,AB,583,30,0
1990,AB,583,11,33.46156914
1990,AB,583,17,197.8457577
1990,AB,583,1,55.25264346
1990,AB,583,10,0
1990,AB,583,34,0
1990,AB,583,6,4.181138355
1990,AB,583,20,8.950244415
1990,AB,583,4,0
1990,AB,583,28,0
1990,AB,583,13,0
1990,AB,583,19,3.443383407
1990,AB,583,33,963.2600738
1990,AB,583,32,770.2181044
1990,AB,583,14,1083.23185
1990,AB,583,27,0
1990,AB,583,8,91.37628962
1990,AB,584,1,429.8622496
1990,AB,584,15,97.87661381
1990,AB,584,17,1595.870653
1990,AB,584,32,6264.748867
1990,AB,584,4,0
1990,AB,584,13,0
1990,AB,584,8,734.8700312
1990,AB,584,33,7873.46169
1990,AB,584,27,0
1990,AB,584,30,0
1990,AB,584,6,33.27053237
1990,AB,584,29,25.30901576
1990,AB,584,18,7616.859768
1990,AB,584,23,74.54846035
1990,AB,584,5,0
1990,AB,584,12,0
1990,AB,584,9,16.44801842
1990,AB,584,16,963.5571014
1990,AB,584,14,8800.911502
1990,AB,584,28,0
1990,AB,584,19,27.77514458
1990,AB,584,22,0
1990,AB,584,10,0
1990,AB,584,34,0
1990,AB,584,21,0
1990,AB,584,11,282.9059167
1990,AB,584,3,22488.38382
1990,AB,584,20,73.52091857
1990,AB,584,26,6906.514752
1990,AB,586,34,0
1990,AB,586,32,197371.2136
1990,AB,586,13,0
1990,AB,586,33,324420.1544
1990,AB,586,1,20417.67659
1990,AB,586,19,2887.234505
1990,AB,586,10,0
1990,AB,586,28,0
1990,AB,586,30,145.181252
1990,AB,586,18,724179.5671
1990,AB,586,9,860.1824942
1990,AB,586,12,0
1990,AB,586,21,0
1990,AB,586,16,165877.9503
1990,AB,586,15,3399.552264
1990,AB,586,17,165891.227
1990,AB,586,6,2802.233952
1990,AB,586,4,1003.443368
1990,AB,586,23,7087.759705
1990,AB,586,22,0
1990,AB,586,3,1959516.065
1990,AB,586,29,768.2496705
1990,AB,586,26,44243.61269
1990,AB,586,20,2553.604946
1990,AB,586,8,64032.5976
1990,AB,586,14,1515091.486
1990,AB,586,27,0
1990,AB,586,11,14795.1389
1990,AB,586,5,9428.974354
1990,AB,587,23,1498.100484
1990,AB,587,20,677.6151579
1990,AB,587,9,162.4055394
1990,AB,587,18,153065.8213
1990,AB,587,22,0
1990,AB,587,11,2793.375277
1990,AB,587,21,0
1990,AB,587,27,0
1990,AB,587,29,350.7603629
1990,AB,587,3,436732.3621
1990,AB,587,8,14271.43573
1990,AB,587,33,100607.4834
1990,AB,587,26,15881.65219
1990,AB,587,12,0
1990,AB,587,28,0
1990,AB,587,15,902.0926074
1990,AB,587,32,36995.00153
1990,AB,587,10,0
1990,AB,587,14,378054.4538
1990,AB,587,19,619.3366717
1990,AB,587,17,35585.09716
1990,AB,587,5,2339.688514
1990,AB,587,30,48.3175567
1990,AB,587,13,0
1990,AB,587,6,619.0556415
1990,AB,587,16,41390.83248
1990,AB,587,4,344.9155542
1990,AB,587,34,0
1990,AB,587,1,5238.500783
1990,AB,588,32,234361.2404
1990,AB,588,26,244149.8657
1990,AB,588,4,0
1990,AB,588,9,1116.253752
1990,AB,588,34,0
1990,AB,588,17,270581.2755
1990,AB,588,3,1254778.592
1990,AB,588,12,0
1990,AB,588,18,1278946.829
1990,AB,588,20,3526.651197
1990,AB,588,1,38125.08684
1990,AB,588,15,4694.945112
1990,AB,588,5,29226.34676
1990,AB,588,14,1838833.288
1990,AB,588,19,4709.30024
1990,AB,588,30,258.5314303
1990,AB,588,6,2045.304932
1990,AB,588,16,201322.4281
1990,AB,588,27,0
1990,AB,588,13,0
1990,AB,588,10,0
1990,AB,588,11,19199.56454
1990,AB,588,29,1340.362082
1990,AB,588,33,297118.106
1990,AB,588,22,0
1990,AB,588,21,0
1990,AB,588,8,41003.35489
1990,AB,588,28,0
1990,AB,588,23,12517.43105
1990,AB,589,17,4994.049348
1990,AB,589,28,0
1990,AB,589,11,413.136282
1990,AB,589,8,1222.936633
1990,AB,589,23,210.5900851
1990,AB,589,5,664.6722559
1990,AB,589,12,0
1990,AB,589,6,55.91857388
1990,AB,589,22,0
1990,AB,589,20,111.3986123
1990,AB,589,26,2218.412604
1990,AB,589,29,0
1990,AB,589,3,37424.12568
1990,AB,589,15,148.3022678
1990,AB,589,4,0
1990,AB,589,16,3722.055791
1990,AB,589,13,0
1990,AB,589,32,3972.427022
1990,AB,589,18,21516.67707
1990,AB,589,14,33996.4114
1990,AB,589,19,86.91834921
1990,AB,589,34,0
1990,AB,589,1,152.947034
1990,AB,589,33,7572.572946
1990,AB,589,30,0
1990,AB,589,27,0
1990,AB,589,21,0
1990,AB,589,9,24.01955128
1990,AB,589,10,0
1990,AB,590,34,0
1990,AB,590,29,2681.428724
1990,AB,590,22,256.5445585
1990,AB,590,3,849779.0331
1990,AB,590,13,0
1990,AB,590,23,7337.076869
1990,AB,590,4,0
1990,AB,590,8,27768.87612
1990,AB,590,21,3313.734722
1990,AB,590,14,828612.1756
1990,AB,590,10,0
1990,AB,590,16,90719.59716
1990,AB,590,26,81255.65258
1990,AB,590,30,55.07776391
1990,AB,590,20,9329.441832
1990,AB,590,5,6635.805731
1990,AB,590,1,31552.44522
1990,AB,590,17,166654.8675
1990,AB,590,32,349953.1893
1990,AB,590,28,0
1990,AB,590,11,27399.02679
1990,AB,590,33,419052.7281
1990,AB,590,12,0
1990,AB,590,6,1248.602766
1990,AB,590,19,2900.525197
1990,AB,590,9,1592.966674
1990,AB,590,15,12420.05939
1990,AB,590,27,0
1990,AB,590,18,749653.1163
1990,AB,591,32,570996.8543
1990,AB,591,27,0
1990,AB,591,4,0
1990,AB,591,11,42071.90635
1990,AB,591,5,8447.45774
1990,AB,591,17,283850.4109
1990,AB,591,20,6903.192958
1990,AB,591,14,1490998.775
1990,AB,591,12,0
1990,AB,591,9,2446.041067
1990,AB,591,34,0
1990,AB,591,30,141.0892028
1990,AB,591,13,0
1990,AB,591,19,4940.241359
1990,AB,591,16,163240.1891
1990,AB,591,18,1079360.455
1990,AB,591,10,0
1990,AB,591,1,20621.2848
1990,AB,591,21,0
1990,AB,591,33,812972.8849
1990,AB,591,28,0
1990,AB,591,23,10564.02015
1990,AB,591,6,2608.745856
1990,AB,591,3,1845935.426
1990,AB,591,15,9190.053176
1990,AB,591,26,361549.5396
1990,AB,591,22,0
1990,AB,591,29,4905.072553
1990,AB,591,8,60321.03661
1990,AB,592,12,0
1990,AB,592,5,17626.05113
1990,AB,592,1,46746.43925
1990,AB,592,10,0
1990,AB,592,8,61968.20191
1990,AB,592,17,209857.7829
1990,AB,592,26,242201.0905
1990,AB,592,4,0
1990,AB,592,30,5.855641281
1990,AB,592,9,2879.550445
1990,AB,592,13,0
1990,AB,592,18,854610.6748
1990,AB,592,22,0
1990,AB,592,19,3652.445298
1990,AB,592,23,8364.32755
1990,AB,592,20,4651.138277
1990,AB,592,16,177015.0283
1990,AB,592,15,6191.947459
1990,AB,592,34,0
1990,AB,592,28,0
1990,AB,592,3,1896341.734
1990,AB,592,21,0
1990,AB,592,6,2453.241649
1990,AB,592,33,1113898.387
1990,AB,592,11,49528.26765
1990,AB,592,29,3811.7232
1990,AB,592,27,0
1990,AB,592,14,1616815.025
1990,AB,592,32,1029015.721
1990,AB,593,13,0
1990,AB,593,18,718866.2896
1990,AB,593,28,0
1990,AB,593,29,889.0490052
1990,AB,593,17,167228.0599
1990,AB,593,21,0
1990,AB,593,16,160319.8868
1990,AB,593,14,1464325.397
1990,AB,593,6,1892.617609
1990,AB,593,20,2601.262937
1990,AB,593,23,7035.757086
