Ecodistrict_ID,Province_ID,F_TOPO,P,PE
244,AB,0.149935637,338.6111111,542.4222222
244,BC,0.092242082,338.6111111,542.4222222
252,BC,0.150447046,307.88,483.36
371,MB,0.225670243,476.89,495.5633333
374,ON,0.243212563,476.89,495.5633333
375,MB,0.005317784,403.5366667,579.0866667
376,MB,0.05,412.2233333,572.7466667
378,ON,0.174207592,503.6233333,505.1466667
379,MB,0.037533025,438.5366667,586.97
380,MB,0.05,416.7633333,607.9266667
381,ON,0.227248962,515.64,573.6133333
383,ON,0.056803477,492.5833333,601.9866667
386,ON,0.149199915,496.0133333,588.82
391,ON,0.225941423,496.0133333,588.82
400,ON,0.099792371,399.34,593.7066667
401,ON,0.035945083,451.07,571.0733333
401,QC,0.042644558,451.07,571.0733333
402,ON,0.100533916,509.8233333,514.7866667
407,ON,0.339956686,483.84,529.9933333
408,ON,0.100011905,451.07,571.0733333
408,QC,0.021030709,451.07,571.0733333
409,ON,0.473833805,473.5666667,555.2433333
410,ON,0.329593622,548.0133333,508.94
411,ON,0.341742195,504.4933333,543.5933333
412,ON,0.599999862,517.9566667,531.1133333
413,ON,0.208942712,550.35,592.79
415,QC,0.108567305,534.45,525.95
418,QC,0.443942822,632.736,521.5461538
419,QC,0.150001853,534.45,525.95
421,QC,0.058777706,531.3892857,467.7
422,QC,0.138230803,482.86,581.2866667
423,QC,0.145826288,550.83,521.8566667
424,QC,0.298696041,605.8166667,556.07
425,QC,0.132747348,482.86,581.2866667
426,QC,0.049058705,569.2533333,581.1633333
431,QC,0.27027027,482.86,581.2866667
438,QC,0.063126295,489.7033333,449.25
439,QC,0.149228049,540.2466667,514.23
440,QC,0.05,531.3892857,467.7
441,QC,0.169315852,542.2233333,512.4266667
455,NL,0.05,570.07,332.6433333
458,NL,0.003625816,581.3933333,407.13
460,NL,0.221248805,677.04,370.45
461,NL,0.12162941,694.02,365.2966667
462,NL,0.190458333,692.9166667,354.07
463,NL,0.02730726,686.6233333,351.3066667
