ECODISTRIC,PROVINCE,Inv_Year_ID,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,Frac_Coarse,Frac_Medium,Frac_Fine
244,AB,1990,0,0,923,0,0,587,0,0,1
583,AB,1990,0,60.052,84.947,0,76.052,106.947,0,0.41495375,0.58504625
584,AB,1990,0,0,1180,0,0,1497,0,0,1
586,AB,1990,8780.895,71579.759,31490.246,3819.942,17267.015,11341.043,0.087336658,0.615798804,0.296864538
587,AB,1990,23353.831,1437.9,0,5575.291,421.65,0,0.939602786,0.060397214,0
588,AB,1990,4996.61,12051.288,100875.292,2545.401,4752.563,33989.336,0.04737132,0.105544873,0.847083807
589,AB,1990,621.652,2020.368,0,358.824,1166.177,0,0.235294231,0.764705769,0
590,AB,1990,0,23236.629,46120.75,0,12201.355,38466.646,0,0.295254087,0.704745913
591,AB,1990,307,2553.835,126380.334,251.6,1209.5,79419.501,0.002658458,0.017910257,0.979431284
592,AB,1990,752.418,15979.041,101501.999,1233.177,24545.515,74329.308,0.00909399,0.185601747,0.805304263
593,AB,1990,0,6594.411,88185.588,0,3215.5,38142.501,0,0.07205858,0.92794142
594,AB,1990,0,0,60447.999,0,0,33849,0,0,1
595,AB,1990,0,3593.882,83082.118,0,1189.647,24191.353,0,0.042688355,0.957311645
596,AB,1990,7432.409,41215.873,48815.407,4409.308,20752.269,23752.223,0.080898484,0.423344754,0.495756762
597,AB,1990,1446.8,19558.6,26714,1486.4,16587.201,22894.001,0.033073618,0.407565936,0.559360446
598,AB,1990,0,1652,92559.999,0,974.4,50061.6,0,0.018082177,0.981917823
599,AB,1990,0,6079,68831.001,0,4535,33951.001,0,0.093601184,0.906398816
600,AB,1990,2090.542,240.118,2236,2588.565,402.236,2588,0.461202009,0.063314422,0.475483568
609,AB,1990,0,0,258,0,0,467,0,0,1
610,AB,1990,1043.214,10314.299,25875.118,596.369,15971.264,45259.369,0.016551475,0.265350902,0.718097623
611,AB,1990,148,849.45,2992.55,194.5,1161.15,4187.35,0.03592783,0.210909472,0.753162698
612,AB,1990,0,6266.267,1460.392,0,9851.875,2812.125,0,0.790466949,0.209533051
615,AB,1990,3057.602,11357.699,0,6402.817,20651.335,0,0.228129824,0.771870176,0
616,AB,1990,9409.333,2918.429,0,12517.214,5423.786,0,0.724395236,0.275604764,0
617,AB,1990,1207.428,3533.571,1126,2690.286,6982.714,2099,0.220971383,0.596195113,0.182833504
618,AB,1990,820.713,9161.694,607.81,1582.281,6083.644,1127,0.123973399,0.786525631,0.089500969
619,AB,1990,0,442,0,0,825,0,0,1,0
622,AB,1990,1849.022,6194.936,0,6548.845,22693.155,0,0.225228677,0.774771323,0
623,AB,1990,2249.75,11512.814,2778.173,10878.429,52903.913,13578.657,0.139807628,0.686001449,0.174190922
625,AB,1990,10.666,21.333,0,84.666,169.333,0,0.333331002,0.666668998,0
626,AB,1990,0,870.002,0,0,4299.999,0,0,1,0
629,AB,1990,196.9,1885.714,345.576,794.5,10516.906,2692.444,0.060333349,0.754782729,0.184883922
630,AB,1990,64.25,2131.421,38.667,241.625,21663.486,172.889,0.012581061,0.978717349,0.00870159
631,AB,1990,0,1057.5,105.5,0,5631.1,570.9,0,0.908160217,0.091839783
650,AB,1990,131.773,2134.006,330.971,903.5,10033.607,1157.895,0.070466273,0.828193465,0.101340262
678,AB,1990,4616.545,98419.434,5427.745,7635.259,151671.843,6171.706,0.044723993,0.912933363,0.042342644
679,AB,1990,0,11037.77,0,0,32961,0,0,1,0
680,AB,1990,4191.762,80138.661,0,7246.561,98657,0,0.060127653,0.939872347,0
681,AB,1990,3008.553,74260.987,18925.41,2314.118,58075.831,14909.44,0.031037007,0.771668725,0.197294268
683,AB,1990,44996.77,21516,0,36662,7603.999,0,0.737133755,0.262866245,0
684,AB,1990,328.724,57853.991,22307.605,1176.063,174266.519,63151.919,0.004715947,0.727457073,0.26782698
686,AB,1990,0,11165.391,0,0,21130.999,0,0,1,0
687,AB,1990,3089.777,10308.123,0,4479.651,13743.385,0,0.239380264,0.760619736,0
688,AB,1990,0,69579.897,0,0,51994.8,0,0,1,0
692,AB,1990,50.766,24830.056,8520.17,171.154,83843.395,40892.556,0.001401823,0.686468052,0.312130124
703,AB,1990,0,51419.121,737.059,0,125959.851,2121,0,0.984142776,0.015857224
708,AB,1990,1739.7,61185.892,0,4652.1,128598.7,0,0.032581902,0.967418098,0
727,AB,1990,24638.522,169765.087,132114.72,22735.235,119381.79,66704.337,0.088492891,0.540118511,0.371388597
728,AB,1990,4188.889,194934.961,3576,1952.222,48067.827,678.45,0.024235008,0.958975419,0.016789573
729,AB,1990,40099.399,119618.569,0,18659.529,34864.553,0,0.27555038,0.72444962,0
730,AB,1990,50529.608,447682.588,13073.056,24518.564,170346.687,4910.833,0.10554388,0.869164506,0.025291614
731,AB,1990,23699.529,452040.86,0,14155.771,161196.95,0,0.058141147,0.941858853,0
732,AB,1990,0,12765.6,0,0,23545.8,0,0,1,0
737,AB,1990,20351.2,107178.05,14984.5,15969.3,85580.25,9835.9,0.143050864,0.759192231,0.097756905
738,AB,1990,9818.86,135644.71,0,4907.05,23642.27,0,0.084625398,0.915374602,0
739,AB,1990,112049.562,9329.4,0,86059.458,9096.3,0,0.914906487,0.085093513,0
740,AB,1990,14244.7,148029.9,0,13925.7,83867.699,0,0.108319363,0.891680637,0
743,AB,1990,2375.1,89109.322,0,487.8,34772.333,0,0.022587953,0.977412047,0
744,AB,1990,0,189287.88,15373.12,0,81093.33,2721.12,0,0.937276326,0.062723674
746,AB,1990,0,162842.35,0,0,81344.7,0,0,1,0
750,AB,1990,0,65934.05,14391.55,0,109861.14,28902.26,0,0.802391676,0.197608324
769,AB,1990,0,126526.7,0,0,39386.1,0,0,1,0
771,AB,1990,17990.711,94025.107,266.2,4691.839,32674.495,72.2,0.151499241,0.846240548,0.002260211
777,AB,1990,16287.7,3859.5,0,6686.2,1404.45,0,0.813585312,0.186414688,0
779,AB,1990,0,39492.9,0,0,7955.1,0,0,1,0
781,AB,1990,14404.88,61665.474,158034.488,2916.48,8335.912,9799.449,0.06788519,0.274346669,0.657768141
786,AB,1990,0,111081.8,24.8,0,20219.7,10.5,0,0.999731225,0.000268775
787,AB,1990,0,52031.5,0,0,6511.2,0,0,1,0
788,AB,1990,0,54234.8,17587.2,0,9819.4,1224.6,0,0.772985302,0.227014698
790,AB,1990,15733.2,46275.4,0,3374,5281.201,0,0.270395871,0.729604129,0
791,AB,1990,0,209065,0,0,15354,0,0,1,0
793,AB,1990,52688.358,377784.013,24982.812,10284.043,89758.679,4761.2,0.112398711,0.834511546,0.053089743
797,AB,1990,2178.4,18582.5,70.5,544.6,5337.955,31,0.101813594,0.894391297,0.003795108
798,AB,1990,39199.9,368485.65,34089.75,15235.5,118776.59,12510.01,0.092530411,0.82825836,0.079211229
799,AB,1990,0,60687,0,0,68763,0,0,1,0
800,AB,1990,0,80600.55,78241.65,0,55104.22,40476.49,0,0.533382666,0.466617334
801,AB,1990,0,41334.75,3176.25,0,42299.9,3920.1,0,0.921786931,0.078213069
802,AB,1990,0,68742.45,0,737.64,42480.2,0,0.006588407,0.993411593,0
804,AB,1990,17543.07,46339.48,0,5857.04,10306.06,0,0.292334562,0.707665438,0
805,AB,1990,5126.079,7726.517,4379.404,684.079,810.519,459.402,0.302833212,0.444961743,0.252205045
806,AB,1990,2579.9,87184.82,641.55,1194.1,45382.27,262.85,0.027498171,0.965912177,0.006589652
809,AB,1990,5973.555,120497.045,0,1000.8,17561.25,0,0.048088172,0.951911828,0
811,AB,1990,4626.6,4810.238,34050.062,660.6,623.22,3767.08,0.108929535,0.111942816,0.779127649
812,AB,1990,29772.2,20352.09,21787.05,26295.825,19628.425,14872.25,0.422492183,0.301267167,0.27624065
814,AB,1990,1570.5,14178.1,0,586.8,4727.61,0,0.102421259,0.897578741,0
815,AB,1990,22307.899,18381.073,0,9205.101,6968.575,0,0.554195084,0.445804916,0
818,AB,1990,0,32275.1,0,0,16601.45,0,0,1,0
821,AB,1990,2020.286,92609.812,754.086,589.153,15514.194,388.585,0.023324362,0.966461921,0.010213717
823,AB,1990,24884.344,122657.155,0,6242.022,27974.978,0,0.171251227,0.828748773,0
828,AB,1990,19303.387,583516.818,0,2633.749,70255.601,0,0.032465333,0.967534667,0
829,AB,1990,20765.45,10298.75,0,7026.7,3326.3,0,0.671029186,0.328970814,0
833,AB,1990,96,19592.6,28.8,27.5,4100.2,8.25,0.00517747,0.993269289,0.001553241
836,AB,1990,0,9462,0,0,1308,0,0,1,0
837,AB,1990,0,23987,0,0,6217,0,0,1,0
838,AB,1990,992.4,4000.601,0,652.8,1639.201,0,0.225833843,0.774166157,0
1016,AB,1990,1320.5,1496.5,0,3195.5,4141.5,0,0.444750837,0.555249163,0
