RU,Province,EF1,FracGASF,EF4,FracLEACH,EF5
5,NS,0.017705936,0.066,0.014,0.3,0.0075
6,PE,0.008178614,0.057,0.014,0.3,0.0075
7,NB,0.014190505,0.062,0.014,0.2944,0.0075
11,QC,0.015996059,0.072,0.014,0.3,0.0075
12,QC,0.020655928,0.072,0.014,0.2983,0.0075
15,QC,0.010294938,0.072,0.014,0.2725,0.0075
17,ON,0.014673125,0.072,0.014,0.2571,0.0075
19,ON,0.01294318,0.072,0.014,0.2489,0.0075
22,MB,0.012439207,0.066,0.014,0.2019,0.0075
23,MB,0.007087028,0.066,0.005,0.1858,0.0075
24,MB,0.005950349,0.066,0.005,0.1745,0.0075
28,SK,0.004338984,0.057,0.005,0.1667,0.0075
29,SK,0.003525717,0.057,0.005,0.1539,0.0075
30,SK,0.00441563,0.057,0.005,0.1119,0.0075
34,AB,0.005948836,0.061,0.005,0.183,0.0075
35,AB,0.005009851,0.061,0.005,0.1689,0.0075
37,AB,0.009425129,0.061,0.005,0.1077,0.0075
39,BC,0.004068428,0.086,0.005,0.1935,0.0075
41,BC,0.007523008,0.086,0.005,0.2765,0.0075
42,BC,0.011723296,0.086,0.014,0.1051,0.0075
