ECODISTRIC,PROVINCE,YEAR,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,PERCAC,PERCAM,PERCAF,PERCPC,PERCPM,PERCPF
244,AB,1990,0,0,922,0,0,588,0,0,100,0,0,100
244,BC,1990,0,104.999,24,0,307,72,0,81,19,0,81,19
252,BC,1990,0,79,0,0,204,0,0,100,0,0,100,0
371,MB,1990,0,0,83,0,0,82,0,0,100,0,0,100
374,ON,1990,15,0,0,208,0,0,100,0,0,100,0,0
375,MB,1990,1744.496,15039.68,39115.244,2063.622,10661.793,19971.235,3,27,70,6,33,61
376,MB,1990,0,15,0,0,41,0,0,100,0,0,100,0
378,ON,1990,56,1058,0,456,6382,0,5,95,0,7,93,0
379,MB,1990,810.852,523.549,0,2122.085,1567.914,0,61,39,0,58,42,0
380,MB,1990,2184.887,148.986,2546.427,3766.406,1708.626,2402.968,45,3,52,48,22,31
381,ON,1990,0,5218,0,0,41692,0,0,100,0,0,100,0
383,ON,1990,203.143,2386.855,0,1867.286,12494.716,0,8,92,0,13,87,0
386,ON,1990,76,0,0,626,0,0,100,0,0,100,0,0
391,ON,1990,17,0,0,194,0,0,100,0,0,100,0,0
400,ON,1990,0,0,438,0,0,4160,0,0,100,0,0,100
401,ON,1990,120.786,545.326,1025.888,1135.914,4420.78,15222.308,7,32,61,5,21,73
401,QC,1990,626,24,7859.23,7505,261,84387.13,7,0,92,8,0,92
402,ON,1990,0,130,0,0,995,0,0,100,0,0,100,0
407,ON,1990,207.846,0,100.156,1639.215,0,923.785,67,0,33,64,0,36
408,ON,1990,0,14136,0,0,42292,0,0,100,0,0,100,0
408,QC,1990,843.567,433.561,5535.412,4678.556,3004,29739.944,12,6,81,13,8,79
409,ON,1990,81,854,0,694,5325.999,0,9,91,0,12,88,0
410,ON,1990,65.2,208.8,0,390.1,1422.9,0,24,76,0,22,78,0
411,ON,1990,4589.809,2484.191,0,32488.831,9479.166,0,65,35,0,77,23,0
412,ON,1990,0,223,892,0,1977.2,7908.8,0,20,80,0,20,80
413,ON,1990,5328.245,1011.327,258.717,60324.982,9014.092,1829.546,81,15,4,85,13,3
415,QC,1990,256.22,0,0,1631,0,0,100,0,0,100,0,0
418,QC,1990,7081.079,826.7,470.999,21121,2633,2661,85,10,6,80,10,10
419,QC,1990,140,0,0,573,0,0,100,0,0,100,0,0
