"","Crop","AB","AT","BC","MB","ON","QC","SK"
"1","Barley",0.00726807,0.01125035,0.00505502,0.00887612,0.0141155,0.01840226,0.00618349
"2","Camelina",0.00726327,0.01268124,0.00514392,0.00829283,0.01255632,0.01727237,0.00564448235294118
"3","Canola",0.00726327,0.01268124,0.00514392,0.00829283,0.01255632,0.01727237,0.00639708
"4","Corn(grain)",0.00653767,0.0124111,0.0049173,0.01057201,0.0144069,0.02743411,0.00689627
"5","Corn(silage)",0.00654733,0.01261562,0.00422321,0.00731426,0.01434767,0.023515,0.00593662
"6","Peas",0.00701811,0.0092763,0.00508762,0.00790606,0.01367183,0.02326738,0.00732793
"7","Rye(fall)",0.00710249,0.01243484,0.00510192,0.00803369,0.01458724,0.02564383,0.00628992
"8","Rye(spring)",NA,NA,0.00506668,0.00909197,0.01389233,0.01894549,0.00619033
"9","Sorghum",0.00653767,0.0124111,0.0049173,0.01057201,0.0144069,0.02743411,0.00689627
"10","Soybeans",0.00678476,0.01112637,NA,0.01092987,0.01515921,0.02665577,0.00625695
"11","Sugarbeet",0.00549568,NA,NA,NA,0.01505596,NA,NA
"12","Triticale",0.0060876906,0.01106235,0.00513575,0.005906887,0.01459599,0.02288693,0.00674151
"13","Wheat(durum)",0.00707865,NA,0.00517302,0.00843112,NA,NA,0.00674241
"14","Wheat(spring)",0.00707871,0.01106235,0.00513575,0.00843841,0.01459599,0.02288693,0.00674151
"15","Wheat(winter)",0.00709719,0.01070357,0.00519394,0.00823863,0.01458592,0.02565346,0.00634077
