"","CropID","AB","BC","MB","MT","ON","QC","SK"
"1","Barley",0.00124400820262184,0.00135718523134188,0.00132030551343252,0.0022440081979569,0.00193227529816966,0.00205312867223963,0.00112112282411803
"2","Camelina",0.00125475135998547,0.00144535133903767,0.00132380211442089,0.00224281473513255,0.00193227256917446,0.0019894764537927,0.000965394993768967
"3","Canola",0.00125475135998547,0.00144535133903767,0.00132380211442089,0.00224281473513255,0.00193227256917446,0.0019894764537927,0.0010941143262715
"4","Corn(grain)",0.000970254811842449,0.000793012208192419,0.00132063873263692,0.00222357118908499,0.00191916304846755,0.00221806452067945,0.00102930070377181
"5","Corn(silage)",0.00112703270730105,0.000678953901661814,0.00132634766612889,0.00224041687987515,0.00195638581218093,0.00220126997042581,0.00104081490443731
"6","Peas",0.00101343067568974,0.00144215115407149,0.00130468670137295,0.00224963277380373,0.00195371534489153,0.00218185491164743,0.000873185010478961
"7","Rye(fall)",0.000997727395401344,0.00131241538433739,0.00131935602213877,0.00222408314695453,0.00191235975682133,0.00219467817268398,0.00104222917764056
"8","Rye(spring)",NA,0.00135900150524768,0.00132343786373356,NA,0.00194432151469809,0.00203647036029113,0.00111856979605974
"9","Sorghum",0.000970254811842449,0.000793012208192419,0.00132063873263692,0.00222357118908499,0.00191916304846755,0.00221806452067945,0.00102930070377181
"10","Soybeans",0.00109377035143119,NA,0.00135175097169824,0.00223529150344989,0.00190304600165253,0.00220354395264785,0.00108869180060064
"11","Sugarbeet",0.000721621431151164,NA,NA,NA,0.0018770980752855,NA,NA
"12","Triticale",0.00101264279193616,0.00139914163250867,0.000926472443855115,0.00223247143603371,0.00191481324446574,0.0021889072465637,0.00100357118717215
"13","Wheat(durum)",0.00117744827888449,0.00139829948426935,0.00132433395146492,NA,NA,NA,0.00100347464557574
"14","Wheat(spring)",0.00117749161853042,0.00139914163250867,0.00132353206265016,0.00223247143603371,0.00191481324446574,0.0021889072465637,0.00100357118717215
"15","Wheat(winter)",0.00100102619683734,0.00133131299275485,0.0013180554588045,0.00224079942516354,0.00191234272020425,0.00219392809913763,0.00104081600672229
